gen,k1,k2,f,w,paramsMuted
751955,10000207.3602,100000198.3,39.9695937213,0.999726274008,k1
752232,10000207.3602,100000212.302,3.54650742382,0.999863497189,f k2
759097,10000220.9105,100000237.845,3.54650742382,0.99986349758,k1 k2
761794,10000227.463,100000237.845,3.54650742382,0.999863497743,k1
764062,10000230.9965,100000234.091,13.3237529965,0.999988583493,f k1 k2
766143,10000230.9965,100000213.071,29.6620013592,0.999832039595,f k2
770075,10000211.8199,100000248.381,10.4208240509,0.999999767015,f k1 k2
779796,10000200.5368,100000248.381,10.4208240509,0.999999767028,k1
781493,10000213.971,100000205.843,11.8562607111,0.999996001981,f k1 k2
782276,10000204.9605,100000205.843,11.8562607111,0.999996002023,k1
782331,10000204.9605,100000230.759,11.8562607111,0.999996002013,k2
782569,10000184.8515,100000230.759,16.0077584758,0.999969079942,f k1
784203,10000191.729,100000225.113,22.2915174507,0.999909271496,f k1 k2
785375,10000177.8047,100000239.257,24.310998308,0.999888334764,f k1 k2
788865,10000223.6965,100000221.393,10.3911819539,0.999999798107,f k1 k2
792345,10000217.7222,100000221.393,7.48997707194,0.999988779147,f k1
794293,10000246.339,100000221.393,7.48997707194,0.999988779364,k1
800612,10000224.3619,100000227.846,7.48997707194,0.999988779202,k1 k2
802662,10000233.4562,100000239.566,42.5451935014,0.999700928151,f k1 k2
803746,10000270.1582,100000241.094,41.9335014567,0.999706901652,f k1 k2
804161,10000270.1582,100000257.316,83.4254210152,0.999360382836,f k2
805606,10000257.6955,100000217.111,83.4254210152,0.99936038378,k1 k2
807092,10000250.3155,100000196.298,78.5686146853,0.999395518344,f k1 k2
808226,10000250.3155,100000196.298,75.2201734896,0.999420463518,f
808245,10000237.0889,100000201.634,51.4702185734,0.999616937978,f k1 k2
814016,10000220.9864,100000199.982,33.4117512133,0.999792878276,f k1 k2
814756,10000220.9864,100000199.982,59.4991998962,0.999546367597,f
818372,10000220.9864,100000192.946,86.1025768262,0.999341524871,f k2
819969,10000201.8833,100000192.946,64.3098198329,0.999506205977,f k1
820390,10000201.8833,100000192.946,44.9627641097,0.999677588473,f
821810,10000201.8833,100000192.946,86.8764402386,0.999336138426,f
822086,10000201.8833,100000230.656,67.5312531767,0.999480144363,f k2
825864,10000214.6243,100000230.656,67.5312531767,0.999480143683,k1
826451,10000210.3445,100000227.208,78.0652874204,0.999399231572,f k1 k2
827148,10000228.0146,100000218.569,71.8544876927,0.999446164269,f k1 k2
827537,10000184.3833,100000218.569,60.9044221222,0.999534479088,f k1
828467,10000184.3833,100000228.104,17.3761168921,0.999957230772,f k2
830434,10000204.9551,100000228.104,17.3761168921,0.999957230455,k1
832759,10000196.9679,100000227.906,17.3761168921,0.999957230578,k1 k2
835296,10000196.9679,100000220.793,17.3761168921,0.999957230588,k2
839300,10000196.9679,100000220.793,13.7761584335,0.999985751726,f
839774,10000171.4463,100000220.793,13.7761584335,0.999985751952,k1
841434,10000184.4935,100000262.043,28.8274390249,0.999840821985,f k1 k2
